ID,Gender,Department,Education Level,Marital Status,Job Role,City
1,Male,HR,Bachelor's,Single,Recruiter,New York
2,Female,IT,Master's,Married,Developer,Chicago
3,Male,Sales,Bachelor's,Married,Sales Exec,San Diego
4,Female,Finance,PhD,Single,Analyst,Boston
5,Male,IT,Master's,Divorced,Manager,Austin
6,Female,HR,Bachelor's,Married,Coordinator,Seattle
7,Male,Marketing,Bachelor's,Single,Lead,Miami
8,Female,IT,Master's,Married,QA Engineer,San Jose
9,Male,Finance,PhD,Widowed,Accountant,Denver
10,Female,Sales,High School,Single,Intern,Atlanta
